Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Hashtag Sweets],Price [Hashtag Sweets],In stock [Hashtag Sweets],Low stock [Hashtag Sweets]
1-rm,10002,1 RM,Gummies & Candy,,N,,,,,,,0.50,,,,N,Y,1.00,,
100plus,10305,100plus,Drinks,,N,,,,,,,0.00,,,,N,Y,2.90,,
2-rm,10003,2 RM,Gummies & Candy,,N,,,,,,,1.00,,,,N,Y,2.00,,
3d-lollipop,10004,3D Lollipop,Candy Toys (YLF),,N,,,,,,,0.00,,,,Y,Y,5.90,19.000,0.000
3d-marshmallow-duck,10006,3D Marshmallow duck,Candy Toys (YLF),,N,,,,,,,3.00,8888235009898,,,Y,Y,6.00,1.000,0.000
3d-marshmallow-panda,10005,3D Marshmallow Panda,Candy Toys (YLF),,N,,,,,,,6.00,,,,Y,Y,6.00,6.000,0.000
acrylic-stand,10007,Acrylic stand,Keychains & Accessories,,N,,,,,,,9.00,,,,Y,Y,9.00,7.000,0.000
avengers-1,10011,Avengers,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,19.00,20.000,0.000
avengers,10010,Avengers cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
avengers-pencil,10012,Avengers PENCIL,Stationery,,N,,,,,,,1.50,,,,Y,Y,3.00,37.000,
baby-shark-1,10282,baby shark,Toys & Games,,N,,,,,,,15.00,,,,Y,Y,15.00,1.000,
balloons-sanrio,10361,Balloons sanrio,Balloons & Party,,N,,,,,,,0.00,,,,N,Y,3.00,,
bank,10283,bank,Toys & Games,,N,,,,,,,15.00,,,,N,Y,10.00,,
barbie-happy-van,10013,BARBIE HAPPY VAN,Candy Toys (YLF),,N,,,,,,,6.00,,,,Y,Y,6.90,7.000,0.000
barbie-marshmellow-donuts,10019,Barbie Marshmellow Donuts,Candy Toys (YLF),,N,,,,,,,2.00,,,,N,Y,3.50,,
barbie-surprise-egg,10020,Barbie Surprise Egg,Candy Toys (YLF),,N,,,,,,,2.70,,,,N,Y,4.90,,
batman-cake,10021,Batman Cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
bebeto-sour-stick,bebeto,Bebeto sour stick,Gummies & Candy,,N,,,,,,,0.00,,,,Y,Y,2.00,80.000,
bento-cake-??-,10022,Bento Cake Regular,Bento Cakes,,N,,,,,,,12.00,,,,Y,Y,26.00,4.000,0.000
best-good-stamp-set,10023,Best good stamp set,Toys & Games,,N,,,,,,,0.00,6982463107806,,,Y,Y,10.00,0.000,
big-bag,10025,Big Bag,Bags & Wallets,,N,,,,,,,15.00,,,,Y,Y,32.50,2.000,
big,10024,Big balloon,Balloons & Party,,N,,,,,,,4.00,,,,N,Y,10.00,,
big-bracelet,10284,big bracelet,Keychains & Accessories,,N,,,,,,,5.00,,,,Y,Y,10.00,10.000,
big-fireworks,10329,Big fireworks,Party Supplies,,N,,,,,,,0.00,,,,Y,Y,8.90,3.000,0.000
sanrio-keychain-1,10360,Big Keychain,Keychains & Accessories,,N,,,,,,,0.00,,,,Y,Y,11.00,38.000,
big-keychains,10014,BIG Keychains,Keychains & Accessories,,N,,,,,,,5.00,,,,Y,Y,9.90,13.000,
big-kuromi-sticker-roll,10026,Big Kuromi Sticker roll,Stickers & Tokens,,N,,,,,,,1.50,,,,N,Y,3.00,,
big-pencil-box,10312,Big pencil box,Stationery,,N,,,,,,,0.00,,,,Y,Y,10.00,3.000,0.000
big-rainbow-lollipop,10028,Big rainbow lollipop,Lollipops,,N,,,,,,,6.00,,,,N,Y,9.90,,
squishy,10238,Big Squishy,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,15.00,20.000,
big-wallet,10027,Big Wallet,Bags & Wallets,,N,,,,,,,4.00,,,,N,Y,9.00,,
birthday-candle-(big),10325,Birthday candle (big),Cake Toppers & Candles,,N,,,,,,,0.00,,,,N,Y,8.90,,
birthday-candle-(small),10326,Birthday candle (small),Cake Toppers & Candles,,N,,,,,,,0.00,,,,N,Y,6.90,,
blender,10030,Blender candy,Candy Toys (YLF),,N,,,,,,,4.50,,,,Y,Y,6.50,1.000,0.000
blindbox,10031,Blindbox,Toys & Games,,N,,,,,,,5.00,,,,N,Y,5.00,,
blindbox-kuromi,10306,Blindbox kuromi,Toys & Games,,N,,,,,,,5.00,,,,N,Y,5.00,,
bouncy-ball-big,10356,Bouncy ball big,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,13.00,2.000,
bouncy-ball,10032,Bouncy Ball small,Toys & Games,,N,,,,,,,5.00,,,,Y,Y,9.00,4.000,0.000
bouncy-pals,10285,Bouncy pals,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,10.00,5.000,
bouquet,10286,bouquet,Bouquets,,N,,,,,,,30.00,,,,N,Y,59.00,,
bouquet-1,10354,Bouquet,Bouquets,,N,,,,,,,0.00,,,,N,Y,19.00,,
box,10313,Box,Packaging,,N,,,,,,,3.00,,,,N,Y,variable,,
